Date,Open,High,Low,Close,Volume
1991-04-05,5.4667,5.4833,5.44983,5.4833,269999
1991-04-08,5.39992,5.52331,5.39323,5.50658,540000
1991-04-09,5.53335,5.61687,5.52331,5.53,1155000
1991-04-10,5.4833,5.54339,5.4833,5.50658,1020000
1991-04-11,5.50658,5.53,5.45332,5.53,825001
1991-04-12,5.53,5.55998,5.50337,5.51662,525001
1991-04-15,5.53335,5.58326,5.53335,5.57657,450000
1991-04-16,5.58996,5.68337,5.55998,5.61687,1335001
1991-04-17,5.7001,5.75002,5.68992,5.73342,1034999
1991-04-18,5.73342,5.73342,5.66009,5.68337,945000
1991-04-19,5.60669,5.66009,5.59986,5.59986,600001
1991-04-22,5.51662,5.55008,5.48678,5.48678,569999
1991-04-23,5.50003,5.57657,5.50003,5.55998,840000
1991-04-24,5.57657,5.58326,5.55008,5.55315,540000
1991-04-25,5.58326,5.64322,5.57657,5.57657,1050000
1991-04-26,5.57657,5.61687,5.56667,5.57657,615000
1991-04-29,5.59986,5.64322,5.58996,5.58996,494999
1991-04-30,5.58326,5.60669,5.54339,5.59986,269999
1991-05-02,5.61687,5.71,5.60669,5.68992,1020000
1991-05-03,5.67333,5.75002,5.67333,5.73342,884999
1991-05-06,5.71655,5.83311,5.68992,5.8267,1080001
1991-05-07,5.86671,5.88331,5.80997,5.81666,1635001
1991-05-08,5.7832,5.8267,5.7832,5.80997,1020000
1991-05-10,5.86671,5.8999,5.84998,5.87006,1050000
1991-05-13,5.80007,5.86671,5.80007,5.83311,915000
1991-05-14,5.84008,5.86337,5.75671,5.75671,1065000
1991-05-15,5.75002,5.76326,5.72659,5.75671,690000
1991-05-16,5.76661,5.79324,5.73663,5.77316,465000
1991-05-17,5.77316,5.7832,5.73342,5.73342,465000
1991-05-21,5.75002,5.86671,5.73342,5.86671,659999
1991-05-22,5.91008,6.05006,5.89334,5.96668,1920001
1991-05-23,5.99331,6.02329,5.96334,5.99331,990001
1991-05-24,5.98327,6.09997,5.98327,6.09007,1230001
1991-05-27,6.10666,6.22671,6.08324,6.17331,1349999
1991-05-28,6.1899,6.27342,6.14333,6.26672,1724999
1991-05-29,6.31664,6.34996,6.25669,6.25669,1065000
1991-05-31,6.33323,6.37994,6.31664,6.33323,1230001
1991-06-03,6.31664,6.33323,6.22671,6.2433,855000
1991-06-04,6.22671,6.2433,6.13329,6.14989,945000
1991-06-05,6.16676,6.26672,6.16676,6.25669,1409999
1991-06-06,6.2433,6.33323,6.16676,6.1899,1455000
1991-06-07,6.18335,6.22671,6.12674,6.14989,960000
1991-06-10,6.10666,6.11684,6.0601,6.10666,659999
1991-06-11,6.14333,6.16982,6.11684,6.16982,1065000
1991-06-12,6.15992,6.19994,6.0601,6.06665,1080001
1991-06-13,6.06665,6.08324,6.04323,6.07669,900000
1991-06-14,6.09007,6.10666,6.06665,6.10666,720001
1991-06-17,6.12674,6.16676,6.08659,6.09997,569999
1991-06-18,6.09997,6.12674,6.0601,6.12674,659999
1991-06-19,6.08324,6.08324,6.0067,6.01674,990001
1991-06-20,6.03319,6.05313,6.02329,6.03319,765000
1991-06-21,6.0601,6.12674,6.0601,6.11684,915000
1991-06-24,6.08324,6.09007,6.04323,6.04323,540000
1991-06-25,6.03319,6.09997,6.0067,6.08324,855000
1991-06-26,6.09007,6.10666,5.93991,5.94995,645000
1991-06-27,5.92318,5.94995,5.86671,5.91008,659999
1991-06-28,5.89334,5.89334,5.7001,5.7001,1890000
1991-07-01,5.71655,5.73998,5.68992,5.71655,884999
1991-07-02,5.71655,5.71655,5.62676,5.68337,705000
1991-07-03,5.66664,5.68992,5.63332,5.66664,1560000
1991-07-04,5.68992,5.80007,5.67333,5.80007,1589999
1991-07-05,5.79324,5.80007,5.75671,5.76661,494999
1991-07-08,5.73342,5.76661,5.71,5.76326,840000
1991-07-09,5.79324,5.86671,5.79324,5.86337,1755001
1991-07-10,5.86671,5.87982,5.84008,5.84008,1530001
1991-07-11,5.84008,5.84008,5.56667,5.56667,2235000
1991-07-12,5.59986,5.65005,5.59986,5.65005,1020000
1991-07-15,5.68337,5.75002,5.65005,5.74346,1215000
1991-07-16,5.77316,5.83311,5.76661,5.76661,1814999
1991-07-17,5.7832,5.7832,5.7001,5.74346,1260001
1991-07-18,5.71655,5.73008,5.7001,5.71,359999
1991-07-19,5.75002,5.75002,5.71,5.71,405000
1991-07-22,5.71,5.75002,5.66664,5.75002,750000
1991-07-23,5.75002,5.76661,5.74346,5.75671,705000
1991-07-24,5.72659,5.72659,5.67333,5.68337,690000
1991-07-25,5.68337,5.68337,5.58996,5.61687,1215000
1991-07-26,5.63332,5.63332,5.58326,5.58996,315000
1991-07-29,5.56667,5.62676,5.53335,5.62676,1065000
1991-07-30,5.64322,5.66009,5.61687,5.63332,780000
1991-07-31,5.66664,5.67333,5.63332,5.65674,1380000
1991-08-01,5.66664,5.74346,5.66664,5.7001,1770000
1991-08-02,5.68337,5.69676,5.65005,5.68992,1425000
1991-08-05,5.68337,5.72659,5.68337,5.72004,585000
1991-08-06,5.7001,5.80007,5.7001,5.75002,2220000
1991-08-07,5.7832,5.80007,5.77999,5.7832,1349999
1991-08-08,5.77316,5.80997,5.75002,5.77316,1455000
1991-08-09,5.76661,5.79324,5.76661,5.7832,870001
1991-08-12,5.76661,5.77316,5.73342,5.75336,705000
1991-08-13,5.76661,5.84008,5.76661,5.84008,1065000
1991-08-14,5.84998,5.88679,5.83311,5.88331,870001
1991-08-15,5.88331,5.97672,5.88331,5.94995,2339999
1991-08-16,5.92318,5.97672,5.92318,5.96668,840000
1991-08-19,5.53335,5.53335,5.33314,5.45332,3044999
1991-08-20,5.54339,5.59986,5.52331,5.54339,2279999
1991-08-21,5.56667,5.84008,5.56667,5.81666,2100000
1991-08-22,5.8999,5.94995,5.84678,5.84998,1080001
1991-08-23,5.81666,5.89334,5.80007,5.89334,1065000
1991-08-26,5.8999,5.92318,5.89334,5.91008,734999
1991-08-27,5.92318,5.95999,5.87661,5.87661,870001
1991-08-28,5.87661,5.90687,5.87661,5.89334,165000
1991-08-29,5.94995,5.96668,5.93991,5.93991,465000
1991-08-30,5.94995,5.94995,5.91008,5.92318,375000
1991-09-02,5.93991,5.96668,5.93336,5.93336,315000
1991-09-03,5.95999,5.95999,5.93991,5.93991,465000
1991-09-04,5.93336,5.93336,5.89334,5.91677,494999
1991-09-05,5.8999,5.91342,5.87661,5.91342,300000
1991-09-06,5.87661,5.8999,5.87661,5.87661,150001
1991-09-09,5.87661,5.88331,5.84008,5.84998,330001
1991-09-10,5.80328,5.81666,5.76661,5.79324,285000
1991-09-11,5.80997,5.81666,5.7832,5.80328,750000
1991-09-12,5.80997,5.80997,5.79324,5.80007,269999
1991-09-13,5.81666,5.8267,5.79324,5.79324,330001
1991-09-16,5.79324,5.79324,5.77316,5.7832,209999
1991-09-17,5.80007,5.80997,5.77316,5.80007,585000
1991-09-18,5.81331,5.88679,5.80997,5.80997,1515000
1991-09-19,5.80007,5.84008,5.80007,5.83005,705000
1991-09-20,5.84008,5.84008,5.7832,5.79324,1034999
1991-09-23,5.81666,5.8267,5.79324,5.8267,479999
1991-09-24,5.8267,5.88679,5.8267,5.87661,900000
1991-09-25,5.89334,5.91677,5.84008,5.84998,795000
1991-09-26,5.85668,5.86337,5.81666,5.8267,359999
1991-09-27,5.81666,5.83311,5.79324,5.80007,525001
1991-09-30,5.8267,5.83311,5.80007,5.80997,540000
1991-10-01,5.83311,5.84008,5.8267,5.84008,315000
1991-10-02,5.83311,5.84998,5.79672,5.84008,975001
1991-10-04,5.80997,5.86337,5.80007,5.84008,1155000
1991-10-07,5.8267,5.86671,5.80007,5.80007,705000
1991-10-08,5.79324,5.82001,5.76661,5.79324,915000
1991-10-09,5.78668,5.78668,5.73342,5.73663,900000
1991-10-10,5.71,5.76661,5.7001,5.75002,510000
1991-10-11,5.76661,5.77999,5.74667,5.77316,435000
1991-10-14,5.73342,5.77316,5.73342,5.76661,344999
1991-10-15,5.77999,5.8267,5.77999,5.80997,780000
1991-10-16,5.84998,5.85668,5.7832,5.79672,795000
1991-10-17,5.80007,5.80007,5.75671,5.79672,615000
1991-10-18,5.80007,5.80007,5.74346,5.77316,975001
1991-10-21,5.7832,5.79324,5.76661,5.77316,359999
1991-10-22,5.76661,5.79672,5.76661,5.7832,569999
1991-10-23,5.79324,5.80997,5.7832,5.78668,765000
1991-10-24,5.80007,5.80007,5.73342,5.73342,615000
1991-10-25,5.73342,5.75002,5.71655,5.72659,359999
1991-10-28,5.72659,5.77316,5.71655,5.77316,344999
1991-10-29,5.79324,5.81666,5.7832,5.80007,510000
1991-10-30,5.81666,5.83311,5.79324,5.80007,825001
1991-10-31,5.79672,5.79672,5.75671,5.75671,330001
1991-11-01,5.75671,5.75671,5.73663,5.73663,120000
1991-11-04,5.73998,5.76326,5.73998,5.74346,285000
1991-11-05,5.75671,5.7832,5.75671,5.7832,269999
1991-11-06,5.7832,5.81666,5.7832,5.7832,734999
1991-11-07,5.80007,5.84998,5.80007,5.84998,840000
1991-11-08,5.86671,6.01004,5.86671,6.01004,1860001
1991-11-11,5.99331,6.01674,5.97672,5.97672,765000
1991-11-12,6.01674,6.09007,6.01674,6.06665,1485000
1991-11-13,6.08324,6.09676,6.04323,6.04323,675000
1991-11-14,6.05006,6.05313,6.02329,6.04323,750000
1991-11-15,6.04323,6.04671,6.01674,6.01674,840000
1991-11-18,5.84998,6,5.83311,5.97672,2100000
1991-11-19,6,6,5.89,5.89334,1050000
1991-11-21,5.93336,5.93336,5.8999,5.91677,300000
1991-11-22,5.93336,5.93336,5.88331,5.89334,300000
1991-11-25,5.86671,5.88331,5.86671,5.87006,720001
1991-11-26,5.88679,5.95999,5.88331,5.93991,1020000
1991-11-27,5.95999,5.95999,5.89334,5.90338,900000
1991-11-28,5.89334,6.04323,5.89334,6.0067,3795001
1991-11-29,6,6,5.8999,5.93336,1245001
1991-12-02,5.84998,5.86671,5.79324,5.86671,1724999
